ISIN	null							
Start date	08.04.2024							
End date	24.04.2024							
								
ISIN	Security full name	Issue size (mn)	Date	Offer period start	Offer period end	Face value	Face value currency	Offer type
RU000A0P1Y12	VEB.RF PBO-002P-K485	35381.3	24.04.2024			1000	RUB	Offer/Maturity
RU000A103WM7	TransFin-M 001P-08	1000	23.04.2024	12.04.2024	18.04.2024	1000	RUB	Offer
RU000A101HP5	INGRAD 002P-02	15000	23.04.2024	19.03.2024	25.03.2024	1000	RUB	Offer (completed)
RU000A100YQ0	Rosneft 002P-09	25000	23.04.2024	12.04.2024	18.04.2024	1000	RUB	Offer
RU000A0ZYG37	INGRAD BO-001P-01	6.604	23.04.2024	19.03.2024	25.03.2024	1000	RUB	Offer
RU000A0JVWB3	Rosselkhozbank BO-09	10000	23.04.2024	15.04.2024	19.04.2024	1000	RUB	Offer
RU000A0JXPK4	Transneft BO-07	17000	19.04.2024	11.04.2024	17.04.2024	1000	RUB	Offer
RU000A0UD7A5	ALFA C-1-91 (structural)	0	18.04.2024			1000	CNY	Offer/Maturity
RU000A1069E7	Bank VTB C-1-515(structural)	0	17.04.2024			1000	RUB	Offer/Maturity
RU000A0UD6A7	Bank VTB C-1-467(structural)	0	17.04.2024			1000	RUB	Offer/Maturity
RU000A0P1Y04	VEB.RF PBO-002P-K484	35000	17.04.2024			1000	RUB	Offer/Maturity
RU000A0JXPK4	Transneft BO-07	17000	17.04.2024			1000	RUB	Offer/Maturity
RU000A0JWWM8	TransFin-M 001P-01	0.002	17.04.2024	08.04.2024	12.04.2024	1000	RUB	Offer
RU000A0JT7T2	FGC ROSSETI 21	10000	17.04.2024	05.04.2024	10.04.2024	1000	RUB	Offer
RU000A1048E1	Bank VTB C-1-130(structural)	0	16.04.2024			1000	RUB	Offer/Maturity
RU000A1038H5	Bank VTB C-1-40(structural)	0	16.04.2024			1000	RUB	Offer/Maturity
RU000A102ZX9	Bank VTB C-1-7 (structural)	377.497	16.04.2024			1000	RUB	Offer/Maturity
RU000A101HP5	INGRAD 002P-02	15000	16.04.2024	19.03.2024	25.03.2024	1000	RUB	Offer
RU000A0ZYG37	INGRAD BO-001P-01	6.604	16.04.2024	19.03.2024	25.03.2024	1000	RUB	Offer
RU000A107548	QIWI Finance 001P-02	8500	11.04.2024	29.02.2024	08.04.2024	1000	RUB	Offer
RU000A104XU6	HC Finance LLC BO 001P-08	3000	10.04.2024	01.04.2024	05.04.2024	1000	RUB	Offer (completed)
RU000A101HP5	INGRAD 002P-02	15000	09.04.2024	19.03.2024	25.03.2024	1000	RUB	Offer
RU000A0ZYG37	INGRAD BO-001P-01	6.604	09.04.2024	19.03.2024	25.03.2024	1000	RUB	Offer
RU000A0JT6B2	VEB.RF 19	10000	08.04.2024	26.03.2024	04.04.2024	1000	RUB	Offer
